time,gFx,gFy,gFz,TgF
0.004411769,0.0422,0.9805,0.0684,0.984
0.004992,0.0422,0.9815,0.0663,0.985
0.005274231,0.0428,0.9817,0.0666,0.985
0.005483462,0.0428,0.9805,0.0663,0.984
0.005681231,0.0428,0.9796,0.0681,0.983
0.005816308,0.0424,0.9800,0.0675,0.983
0.005943462,0.0415,0.9805,0.0700,0.984
0.006069846,0.0410,0.9791,0.0691,0.982
0.007858539,0.0412,0.9810,0.0691,0.984
0.011503462,0.0408,0.9812,0.0720,0.985
0.011961616,0.0408,0.9786,0.0712,0.982
0.014229231,0.0408,0.9803,0.0696,0.984
0.016529846,0.0405,0.9796,0.0705,0.983
0.019566462,0.0405,0.9788,0.0686,0.982
0.023999385,0.0417,0.9798,0.0686,0.983
0.024468923,0.0393,0.9825,0.0688,0.986
0.026605846,0.0403,0.9808,0.0668,0.984
0.029332385,0.0386,0.9805,0.0671,0.984
0.031595693,0.0398,0.9793,0.0647,0.982
0.034321846,0.0403,0.9810,0.0659,0.984
0.039020616,0.0424,0.9822,0.0691,0.986
0.040215385,0.0408,0.9796,0.0684,0.983
0.041933923,0.0415,0.9817,0.0679,0.985
0.044363693,0.0410,0.9796,0.0684,0.983
0.046793846,0.0408,0.9784,0.0696,0.982
0.049184077,0.0440,0.9796,0.0698,0.983
0.052475077,0.0442,0.9808,0.0691,0.984
0.054381,0.0420,0.9800,0.0684,0.983
0.056790462,0.0430,0.9786,0.0710,0.982
0.059184693,0.0454,0.9803,0.0686,0.984
0.061752,0.0430,0.9796,0.0675,0.983
0.064253231,0.0403,0.9798,0.0688,0.983
0.066860693,0.0410,0.9800,0.0703,0.983
0.069736385,0.0410,0.9796,0.0686,0.983
0.071913308,0.0412,0.9788,0.0691,0.982
0.074296385,0.0408,0.9808,0.0684,0.984
0.076976616,0.0412,0.9793,0.0666,0.982
0.079441308,0.0396,0.9796,0.0659,0.983
0.082105846,0.0405,0.9812,0.0673,0.984
0.084559462,0.0388,0.9825,0.0691,0.986
0.087037616,0.0384,0.9817,0.0691,0.985
0.089594231,0.0408,0.9788,0.0681,0.982
0.091970539,0.0405,0.9798,0.0696,0.983
0.094595462,0.0415,0.9798,0.0693,0.983
0.096925,0.0405,0.9808,0.0691,0.984
0.099429539,0.0408,0.9805,0.0700,0.984
0.103116077,0.0415,0.9805,0.0691,0.984
0.104848923,0.0410,0.9800,0.0686,0.983
0.107147769,0.0403,0.9810,0.0684,0.984
0.109576693,0.0410,0.9798,0.0681,0.983
0.111993308,0.0417,0.9812,0.0693,0.985
0.114546231,0.0433,0.9810,0.0710,0.985
0.117068,0.0440,0.9803,0.0686,0.984
0.119939462,0.0400,0.9803,0.0684,0.984
0.122380616,0.0405,0.9791,0.0703,0.982
0.124865923,0.0412,0.9808,0.0693,0.984
0.127096,0.0422,0.9800,0.0696,0.983
0.129671462,0.0424,0.9791,0.0700,0.983
0.132111154,0.0410,0.9800,0.0691,0.983
0.134707693,0.0422,0.9800,0.0691,0.983
0.137473231,0.0415,0.9798,0.0703,0.983
0.140056923,0.0408,0.9796,0.0703,0.983
0.142295385,0.0412,0.9798,0.0698,0.983
0.144745308,0.0408,0.9793,0.0698,0.983
